,description,price,title,url
0,Лёгкий путь в Machine Learning и Data Science. Начни внедрять Искусственный Интеллект без кода и математики и зарабатывай уже во время обучения!,,Специалист по внедрению Искусственного Интеллекта,https://gb.ru/s/ai-integration-specialist
1,"Вы изучите технологии автоматизированного тестирования, научитесь работать с различными инструментами и фреймворками, а также получите опыт работы на реальных проектах",от 3201 ₽,Специалист по автоматизированному тестированию,https://gb.ru/geek_university/developer/qa-engineer/auto-gb
2,"Вы научитесь работать с 1C с нуля, практика на реальных задачах в «1С:Комплексная автоматизация» и «1С:Бухгалтерия»",от 3201 ₽,1C-разработчик: быстрый старт в профессии,https://gb.ru/geek_university/developer/programmer/1c-spec-gb
3,"Вы изучите гибкие методологии управления проектами, научитесь определять цели проекта, оценивать риски и планировать бюджет. Узнаете, как лидировать команду и вести переговоры.",5998,Менеджер проектов в ИТ,https://gb.ru/geek_university/developer/project-manager-gb
4,Выберите профессию в программировании в процессе обучения и станьте специалистом уровня Junior с зарплатой от 80 000 ₽,от 3577 ₽,Программист с нуля до Junior,https://gb.ru/geek_university/developer/programmer
5,"Научитесь создавать игры на движке Unreal Engine, писать код на C++ и работать с Blueprints. Теория и практика на реальных задачах. Портфолио и трудоустройство.",от 3750 ₽,Разработчик Игр на Unreal Engine,https://gb.ru/geek_university/developer/programmer/unrealengine-gb
6,"Вы научитесь оптимизировать сайты так, чтобы их можно было «загуглить»: научитесь анализировать, проводить аудиты сайта и разрабатывать стратегию его продвижения",от 2550 ₽,SEO-специалист,https://gb.ru/geek_university/marketing/seo
7,"Научитесь использовать язык программирования Python для создания сайтов, приложений, чат-ботов, нейросетей и даже для научных исследований",от 4049 ₽,Python-разработчик: быстрый старт в профессии,https://gb.ru/geek_university/developer/programmer/python-gb
8,"Идеальная программа для тех, кто хочет стать дизайнером, но пока не решил, каким именно. Обучение с нуля, выбор профессии в процессе обучения",от 3772 ₽,Дизайнер с нуля до Junior,https://gb.ru/geek_university/design
9,"Научитесь пространственному мышлению, созданию визуальной концепции эргономичного, эстетически гармоничного и функционального дизайна",от 3772 ₽,Дизайнер интерьеров,https://gb.ru/geek_university/design/interior-spec-gb
10,Программа обучения с углубленной теорией и дополнительной практикой. Станете Python-разработчиком уровня Middle — уверенный специалист с зарплатой от 150 000 ₽,от 5223 ₽,Python-разработчик с нуля до Middle,https://gb.ru/geek_university/developer/programmer/python/master
11,"Ускоренная программа обучения, где вы с нуля научитесь продвигать товары или услуги в интернете, развивать бренд компании, вести аккаунты в социальных сетях",7 674,SMM-менеджер: быстрый старт в профессии,https://gb.ru/geek_university/marketing/smm-management-spec
12,"Вы освоите игровую разработку с нуля: научитесь программировать на С#, разрабатывать 2D- и 3D-игры на Unity, создавать персонажей и игровые сцены в Blender",от 4256 ₽,Разработчик Игр на Unity,https://gb.ru/geek_university/developer/programmer/unity-gb
13,Расширенная программа обучения с углубленной теорией и дополнительной практикой. Станете графическим дизайнером уровня Junior — младший специалист с зарплатой от 80 000 ₽,4771,Графический дизайнер с нуля до Junior,https://gb.ru/geek_university/design/graphic-gb
14,"Вы с нуля освоите язык программирования Java: научитесь создавать сетевые чаты, приложения, мобильные игры и другие сервисы для современных платформ",6980,Java-разработчик: быстрый старт в профессии,https://gb.ru/geek_university/developer/programmer/java-gb
15,"Станьте специалистом, который решает бизнес-задачи с помощью сбора и обработки данных, научитесь работать с Python и использовать алгоритмы машинного обучения",от 4049 ₽,Data Scientist: быстрый старт в профессии,https://gb.ru/geek_university/developer/analyst/data-science-gb
16,Углубленная теория и больше практики. в конце обучения станете тестировщиком уровня Middle — уверенный специалист с зарплатой от 150 000 ₽,4279,Тестировщик с нуля до Middle,https://gb.ru/geek_university/developer/qa-engineer/master
17,"Научитесь управлять созданием продукта от идеи до запуска: проводить исследования, работать с гипотезами, создавать MVP, выводить продукт на рынок.",5998,Менеджер продуктов в ИТ,https://gb.ru/geek_university/developer/product-manager-gb
18,Выберите профессию в цифровом дизайне в процессе обучения и станьте специалистом уровня Junior с зарплатой от 80 000 ₽,от 3577 ₽,Цифровой дизайнер с нуля до Junior,https://gb.ru/geek_university/design/digital
19,"Ускоренная программа обучения, где вы с нуля научитесь продвигать товары или услуги в интернете, развивать бренд компании, вести аккаунты в социальных сетях",от 1742 ₽,SMM-менеджер: быстрый старт в профессии,https://gb.ru/geek_university/marketing/smm-management-spec-gb
20,"Вы научитесь тестировать различные программы, приложения и сервисы, чтобы убедиться, что они работают корректно, выявлять возможные ошибки и уязвимости в защите",от 2516 ₽,Тестировщик ПО,https://gb.ru/geek_university/it-specialist/qa
21,Изучайте программирование на C++ с нуля. Курс включает теорию и практику на реальных задачах. Быстрое обучение и гарантированное трудоустройство.,от 3060 ₽,Разработчик на C++: быстрый старт в профессии,https://gb.ru/geek_university/developer/programmer/cpp-spec-gb
